_link,_link_main,com,dt_com,scheda,enti_p,enti_t,perc,vot_m,vot_f,vot_t,perc_r
0.enti.ente_p.com_vot.0,0,1,20250608120000,2,1001,1001,"6,70",0,0,44160,
0.enti.ente_p.com_vot.1,0,2,20250608190000,2,1001,1001,"15,37",0,0,101317,
0.enti.ente_p.com_vot.2,0,3,20250608230000,2,1001,1001,"21,94",0,0,144598,
0.enti.ente_p.com_vot.3,0,4,20250609150000,2,1001,1001,"31,21",96918,108801,205719,
1.enti.ente_p.com_vot.0,1,1,20250608120000,2,5306,5306,"4,47",0,0,172597,
1.enti.ente_p.com_vot.1,1,2,20250608190000,2,5306,5306,"10,59",0,0,409403,
1.enti.ente_p.com_vot.2,1,3,20250608230000,2,5306,5306,"16,31",0,0,630587,
1.enti.ente_p.com_vot.3,1,4,20250609150000,2,5306,5306,"23,10",416846,475999,892845,
2.enti.ente_p.com_vot.0,2,1,20250608120000,2,9268,9268,"8,09",0,0,612739,
2.enti.ente_p.com_vot.1,2,2,20250608190000,2,9268,9268,"18,33",0,0,1388961,
2.enti.ente_p.com_vot.2,2,3,20250608230000,2,9268,9268,"23,95",0,0,1814966,
2.enti.ente_p.com_vot.3,2,4,20250609150000,2,9268,9268,"30,70",1080694,1245278,2325972,
3.enti.ente_p.com_vot.0,3,1,20250608120000,2,5826,5826,"5,85",0,0,260518,
3.enti.ente_p.com_vot.1,3,2,20250608190000,2,5826,5826,"13,83",0,0,616039,
3.enti.ente_p.com_vot.2,3,3,20250608230000,2,5826,5826,"21,51",0,0,958377,
3.enti.ente_p.com_vot.3,3,4,20250609150000,2,5826,5826,"29,85",629807,700011,1329818,
4.enti.ente_p.com_vot.0,4,1,20250608120000,2,150,150,"7,45",0,0,7290,
4.enti.ente_p.com_vot.1,4,2,20250608190000,2,150,150,"16,11",0,0,15756,
4.enti.ente_p.com_vot.2,4,3,20250608230000,2,150,150,"21,45",0,0,20980,
4.enti.ente_p.com_vot.3,4,4,20250609150000,2,150,150,"29,00",12969,15398,28367,
5.enti.ente_p.com_vot.0,5,1,20250608120000,2,3927,3927,"10,30",0,0,288646,
5.enti.ente_p.com_vot.1,5,2,20250608190000,2,3927,3927,"22,18",0,0,621869,
5.enti.ente_p.com_vot.2,5,3,20250608230000,2,3927,3927,"29,97",0,0,840230,
5.enti.ente_p.com_vot.3,5,4,20250609150000,2,3927,3927,"39,08",509902,585697,1095599,
6.enti.ente_p.com_vot.0,6,1,20250608120000,2,1842,1842,"6,80",0,0,90006,
6.enti.ente_p.com_vot.1,6,2,20250608190000,2,1842,1842,"13,02",0,0,172232,
6.enti.ente_p.com_vot.2,6,3,20250608230000,2,1842,1842,"18,93",0,0,250369,
6.enti.ente_p.com_vot.3,6,4,20250609150000,2,1842,1842,"27,73",162641,204160,366801,
7.enti.ente_p.com_vot.0,7,1,20250608120000,2,1785,1785,"9,23",0,0,109188,
7.enti.ente_p.com_vot.1,7,2,20250608190000,2,1785,1785,"20,57",0,0,243418,
7.enti.ente_p.com_vot.2,7,3,20250608230000,2,1785,1785,"26,37",0,0,311929,
7.enti.ente_p.com_vot.3,7,4,20250609150000,2,1785,1785,"35,07",190458,224443,414901,
8.enti.ente_p.com_vot.0,8,1,20250608120000,2,1357,1357,"7,30",0,0,68065,
8.enti.ente_p.com_vot.1,8,2,20250608190000,2,1357,1357,"15,72",0,0,146623,
8.enti.ente_p.com_vot.2,8,3,20250608230000,2,1357,1357,"20,44",0,0,190582,
8.enti.ente_p.com_vot.3,8,4,20250609150000,2,1357,1357,"27,57",119322,137823,257145,
9.enti.ente_p.com_vot.0,9,1,20250608120000,2,684,684,"5,37",0,0,23289,
9.enti.ente_p.com_vot.1,9,2,20250608190000,2,684,684,"12,98",0,0,56305,
9.enti.ente_p.com_vot.2,9,3,20250608230000,2,684,684,"22,21",0,0,96365,
9.enti.ente_p.com_vot.3,9,4,20250609150000,2,684,684,"31,27",64960,70665,135625,
10.enti.ente_p.com_vot.0,10,1,20250608120000,2,4537,4537,"10,93",0,0,368373,
10.enti.ente_p.com_vot.1,10,2,20250608190000,2,4537,4537,"21,21",0,0,714769,
10.enti.ente_p.com_vot.2,10,3,20250608230000,2,4537,4537,"28,85",0,0,972410,
10.enti.ente_p.com_vot.3,10,4,20250609150000,2,4537,4537,"38,09",601036,682928,1283964,
11.enti.ente_p.com_vot.0,11,1,20250608120000,2,394,394,"5,29",0,0,12609,
11.enti.ente_p.com_vot.1,11,2,20250608190000,2,394,394,"12,54",0,0,29889,
11.enti.ente_p.com_vot.2,11,3,20250608230000,2,394,394,"18,91",0,0,45051,
11.enti.ente_p.com_vot.3,11,4,20250609150000,2,394,394,"27,70",31157,34837,65994,
12.enti.ente_p.com_vot.0,12,1,20250608120000,2,1572,1572,"7,57",0,0,87686,
12.enti.ente_p.com_vot.1,12,2,20250608190000,2,1572,1572,"16,09",0,0,186388,
12.enti.ente_p.com_vot.2,12,3,20250608230000,2,1572,1572,"23,61",0,0,273492,
12.enti.ente_p.com_vot.3,12,4,20250609150000,2,1572,1572,"32,70",179032,199728,378760,
13.enti.ente_p.com_vot.0,13,1,20250608120000,2,2406,2406,"4,38",0,0,64317,
13.enti.ente_p.com_vot.1,13,2,20250608190000,2,2406,2406,"10,14",0,0,149043,
13.enti.ente_p.com_vot.2,13,3,20250608230000,2,2406,2406,"16,23",0,0,238526,
13.enti.ente_p.com_vot.3,13,4,20250609150000,2,2406,2406,"23,81",165593,184328,349921,
14.enti.ente_p.com_vot.0,14,1,20250608120000,2,4732,4732,"6,96",0,0,261031,
14.enti.ente_p.com_vot.1,14,2,20250608190000,2,4732,4732,"14,68",0,0,550732,
14.enti.ente_p.com_vot.2,14,3,20250608230000,2,4732,4732,"19,91",0,0,746940,
14.enti.ente_p.com_vot.3,14,4,20250609150000,2,4732,4732,"26,21",457607,525376,982983,
15.enti.ente_p.com_vot.0,15,1,20250608120000,2,1020,1020,"5,53",0,0,45315,
15.enti.ente_p.com_vot.1,15,2,20250608190000,2,1020,1020,"11,76",0,0,96372,
15.enti.ente_p.com_vot.2,15,3,20250608230000,2,1020,1020,"16,12",0,0,132059,
15.enti.ente_p.com_vot.3,15,4,20250609150000,2,1020,1020,"22,70",86402,99567,185969,
16.enti.ente_p.com_vot.0,16,1,20250608120000,2,5323,5323,"7,84",0,0,341410,
16.enti.ente_p.com_vot.1,16,2,20250608190000,2,5323,5323,"16,97",0,0,739156,
16.enti.ente_p.com_vot.2,16,3,20250608230000,2,5323,5323,"23,69",0,0,1032130,
16.enti.ente_p.com_vot.3,16,4,20250609150000,2,5323,5323,"31,85",630186,757408,1387594,
17.enti.ente_p.com_vot.0,17,1,20250608120000,2,4803,4803,"8,85",0,0,293565,
17.enti.ente_p.com_vot.1,17,2,20250608190000,2,4803,4803,"20,13",0,0,667900,
17.enti.ente_p.com_vot.2,17,3,20250608230000,2,4803,4803,"27,12",0,0,899830,
17.enti.ente_p.com_vot.3,17,4,20250609150000,2,4803,4803,"35,19",543250,624302,1167552,
18.enti.ente_p.com_vot.0,18,1,20250608120000,2,1628,1628,"5,97",0,0,60674,
18.enti.ente_p.com_vot.1,18,2,20250608190000,2,1628,1628,"13,80",0,0,140197,
18.enti.ente_p.com_vot.2,18,3,20250608230000,2,1628,1628,"20,80",0,0,211325,
18.enti.ente_p.com_vot.3,18,4,20250609150000,2,1628,1628,"29,77",141590,160790,302380,
19.enti.ente_p.com_vot.0,19,1,20250608120000,2,4030,4030,"6,19",0,0,196401,
19.enti.ente_p.com_vot.1,19,2,20250608190000,2,4030,4030,"12,20",0,0,386925,
19.enti.ente_p.com_vot.2,19,3,20250608230000,2,4030,4030,"20,15",0,0,639044,
19.enti.ente_p.com_vot.3,19,4,20250609150000,2,4030,4030,"28,61",428214,479242,907456,
20.enti.ente_p.com_vot.0,20,1,20250608120000,5,1001,1001,"6,70",0,0,44132,
20.enti.ente_p.com_vot.1,20,2,20250608190000,5,1001,1001,"15,36",0,0,101240,
20.enti.ente_p.com_vot.2,20,3,20250608230000,5,1001,1001,"21,91",0,0,144423,
20.enti.ente_p.com_vot.3,20,4,20250609150000,5,1001,1001,"31,19",96890,108671,205561,
21.enti.ente_p.com_vot.0,21,1,20250608120000,5,5306,5306,"4,47",0,0,172646,
21.enti.ente_p.com_vot.1,21,2,20250608190000,5,5306,5306,"10,59",0,0,409344,
21.enti.ente_p.com_vot.2,21,3,20250608230000,5,5306,5306,"16,31",0,0,630593,
21.enti.ente_p.com_vot.3,21,4,20250609150000,5,5306,5306,"23,09",416817,475891,892708,
22.enti.ente_p.com_vot.0,22,1,20250608120000,5,9268,9268,"8,10",0,0,613613,
22.enti.ente_p.com_vot.1,22,2,20250608190000,5,9268,9268,"18,36",0,0,1391056,
22.enti.ente_p.com_vot.2,22,3,20250608230000,5,9268,9268,"23,99",0,0,1818008,
22.enti.ente_p.com_vot.3,22,4,20250609150000,5,9268,9268,"30,76",1083319,1247283,2330602,
23.enti.ente_p.com_vot.0,23,1,20250608120000,5,5826,5826,"5,85",0,0,260423,
23.enti.ente_p.com_vot.1,23,2,20250608190000,5,5826,5826,"13,83",0,0,615922,
23.enti.ente_p.com_vot.2,23,3,20250608230000,5,5826,5826,"21,51",0,0,958180,
23.enti.ente_p.com_vot.3,23,4,20250609150000,5,5826,5826,"29,85",629777,699807,1329584,
24.enti.ente_p.com_vot.0,24,1,20250608120000,5,150,150,"7,45",0,0,7288,
24.enti.ente_p.com_vot.1,24,2,20250608190000,5,150,150,"16,11",0,0,15754,
24.enti.ente_p.com_vot.2,24,3,20250608230000,5,150,150,"21,46",0,0,20987,
24.enti.ente_p.com_vot.3,24,4,20250609150000,5,150,150,"29,03",12980,15411,28391,
25.enti.ente_p.com_vot.0,25,1,20250608120000,5,3927,3927,"10,29",0,0,288572,
25.enti.ente_p.com_vot.1,25,2,20250608190000,5,3927,3927,"22,18",0,0,621845,
25.enti.ente_p.com_vot.2,25,3,20250608230000,5,3927,3927,"29,97",0,0,840186,
25.enti.ente_p.com_vot.3,25,4,20250609150000,5,3927,3927,"39,08",510092,585572,1095664,
26.enti.ente_p.com_vot.0,26,1,20250608120000,5,1842,1842,"6,80",0,0,89988,
26.enti.ente_p.com_vot.1,26,2,20250608190000,5,1842,1842,"13,02",0,0,172232,
26.enti.ente_p.com_vot.2,26,3,20250608230000,5,1842,1842,"18,93",0,0,250382,
26.enti.ente_p.com_vot.3,26,4,20250609150000,5,1842,1842,"27,73",162634,204142,366776,
27.enti.ente_p.com_vot.0,27,1,20250608120000,5,1785,1785,"9,22",0,0,109137,
27.enti.ente_p.com_vot.1,27,2,20250608190000,5,1785,1785,"20,57",0,0,243362,
27.enti.ente_p.com_vot.2,27,3,20250608230000,5,1785,1785,"26,35",0,0,311729,
27.enti.ente_p.com_vot.3,27,4,20250609150000,5,1785,1785,"35,05",190352,224346,414698,
28.enti.ente_p.com_vot.0,28,1,20250608120000,5,1357,1357,"7,30",0,0,68069,
28.enti.ente_p.com_vot.1,28,2,20250608190000,5,1357,1357,"15,73",0,0,146706,
28.enti.ente_p.com_vot.2,28,3,20250608230000,5,1357,1357,"20,45",0,0,190693,
28.enti.ente_p.com_vot.3,28,4,20250609150000,5,1357,1357,"27,59",119470,137848,257318,
29.enti.ente_p.com_vot.0,29,1,20250608120000,5,684,684,"5,37",0,0,23294,
29.enti.ente_p.com_vot.1,29,2,20250608190000,5,684,684,"12,97",0,0,56283,
29.enti.ente_p.com_vot.2,29,3,20250608230000,5,684,684,"22,22",0,0,96386,
29.enti.ente_p.com_vot.3,29,4,20250609150000,5,684,684,"31,26",64938,70649,135587,
30.enti.ente_p.com_vot.0,30,1,20250608120000,5,4537,4537,"10,93",0,0,368488,
30.enti.ente_p.com_vot.1,30,2,20250608190000,5,4537,4537,"21,21",0,0,715047,
30.enti.ente_p.com_vot.2,30,3,20250608230000,5,4537,4537,"28,86",0,0,972800,
30.enti.ente_p.com_vot.3,30,4,20250609150000,5,4537,4537,"38,12",601670,683120,1284790,
31.enti.ente_p.com_vot.0,31,1,20250608120000,5,394,394,"5,29",0,0,12604,
31.enti.ente_p.com_vot.1,31,2,20250608190000,5,394,394,"12,53",0,0,29845,
31.enti.ente_p.com_vot.2,31,3,20250608230000,5,394,394,"18,88",0,0,44994,
31.enti.ente_p.com_vot.3,31,4,20250609150000,5,394,394,"27,67",31104,34823,65927,
32.enti.ente_p.com_vot.0,32,1,20250608120000,5,1572,1572,"7,57",0,0,87648,
32.enti.ente_p.com_vot.1,32,2,20250608190000,5,1572,1572,"16,08",0,0,186272,
32.enti.ente_p.com_vot.2,32,3,20250608230000,5,1572,1572,"23,59",0,0,273297,
32.enti.ente_p.com_vot.3,32,4,20250609150000,5,1572,1572,"32,67",178907,199587,378494,
33.enti.ente_p.com_vot.0,33,1,20250608120000,5,2406,2406,"4,37",0,0,64268,
33.enti.ente_p.com_vot.1,33,2,20250608190000,5,2406,2406,"10,14",0,0,149007,
33.enti.ente_p.com_vot.2,33,3,20250608230000,5,2406,2406,"16,22",0,0,238373,
33.enti.ente_p.com_vot.3,33,4,20250609150000,5,2406,2406,"23,80",165523,184188,349711,
34.enti.ente_p.com_vot.0,34,1,20250608120000,5,4732,4732,"6,97",0,0,261476,
34.enti.ente_p.com_vot.1,34,2,20250608190000,5,4732,4732,"14,69",0,0,551051,
34.enti.ente_p.com_vot.2,34,3,20250608230000,5,4732,4732,"19,93",0,0,747626,
34.enti.ente_p.com_vot.3,34,4,20250609150000,5,4732,4732,"26,24",458398,525763,984161,
35.enti.ente_p.com_vot.0,35,1,20250608120000,5,1020,1020,"5,53",0,0,45332,
35.enti.ente_p.com_vot.1,35,2,20250608190000,5,1020,1020,"11,77",0,0,96393,
35.enti.ente_p.com_vot.2,35,3,20250608230000,5,1020,1020,"16,12",0,0,132050,
35.enti.ente_p.com_vot.3,35,4,20250609150000,5,1020,1020,"22,73",86533,99622,186155,
36.enti.ente_p.com_vot.0,36,1,20250608120000,5,5323,5323,"7,84",0,0,341351,
36.enti.ente_p.com_vot.1,36,2,20250608190000,5,5323,5323,"16,97",0,0,739005,
36.enti.ente_p.com_vot.2,36,3,20250608230000,5,5323,5323,"23,69",0,0,1031905,
36.enti.ente_p.com_vot.3,36,4,20250609150000,5,5323,5323,"31,85",630126,757201,1387327,
37.enti.ente_p.com_vot.0,37,1,20250608120000,5,4803,4803,"8,85",0,0,293727,
37.enti.ente_p.com_vot.1,37,2,20250608190000,5,4803,4803,"20,15",0,0,668395,
37.enti.ente_p.com_vot.2,37,3,20250608230000,5,4803,4803,"27,15",0,0,900828,
37.enti.ente_p.com_vot.3,37,4,20250609150000,5,4803,4803,"35,24",544307,624841,1169148,
38.enti.ente_p.com_vot.0,38,1,20250608120000,5,1628,1628,"5,97",0,0,60604,
38.enti.ente_p.com_vot.1,38,2,20250608190000,5,1628,1628,"13,79",0,0,140105,
38.enti.ente_p.com_vot.2,38,3,20250608230000,5,1628,1628,"20,78",0,0,211130,
38.enti.ente_p.com_vot.3,38,4,20250609150000,5,1628,1628,"29,73",141383,160651,302034,
39.enti.ente_p.com_vot.0,39,1,20250608120000,5,4030,4030,"6,19",0,0,196284,
39.enti.ente_p.com_vot.1,39,2,20250608190000,5,4030,4030,"12,19",0,0,386747,
39.enti.ente_p.com_vot.2,39,3,20250608230000,5,4030,4030,"20,14",0,0,638847,
39.enti.ente_p.com_vot.3,39,4,20250609150000,5,4030,4030,"28,60",428071,479055,907126,
40.enti.ente_p.com_vot.0,40,1,20250608120000,4,1001,1001,"6,70",0,0,44175,
40.enti.ente_p.com_vot.1,40,2,20250608190000,4,1001,1001,"15,38",0,0,101356,
40.enti.ente_p.com_vot.2,40,3,20250608230000,4,1001,1001,"21,94",0,0,144653,
40.enti.ente_p.com_vot.3,40,4,20250609150000,4,1001,1001,"31,23",97056,108772,205828,
41.enti.ente_p.com_vot.0,41,1,20250608120000,4,5306,5306,"4,47",0,0,172607,
41.enti.ente_p.com_vot.1,41,2,20250608190000,4,5306,5306,"10,59",0,0,409413,
41.enti.ente_p.com_vot.2,41,3,20250608230000,4,5306,5306,"16,32",0,0,630705,
41.enti.ente_p.com_vot.3,41,4,20250609150000,4,5306,5306,"23,10",416912,476005,892917,
42.enti.ente_p.com_vot.0,42,1,20250608120000,4,9268,9268,"8,09",0,0,613254,
42.enti.ente_p.com_vot.1,42,2,20250608190000,4,9268,9268,"18,35",0,0,1390167,
42.enti.ente_p.com_vot.2,42,3,20250608230000,4,9268,9268,"23,98",0,0,1816719,
42.enti.ente_p.com_vot.3,42,4,20250609150000,4,9268,9268,"30,73",1082143,1246344,2328487,
43.enti.ente_p.com_vot.0,43,1,20250608120000,4,5826,5826,"5,85",0,0,260565,
43.enti.ente_p.com_vot.1,43,2,20250608190000,4,5826,5826,"13,83",0,0,616081,
43.enti.ente_p.com_vot.2,43,3,20250608230000,4,5826,5826,"21,52",0,0,958435,
43.enti.ente_p.com_vot.3,43,4,20250609150000,4,5826,5826,"29,86",629917,700036,1329953,
44.enti.ente_p.com_vot.0,44,1,20250608120000,4,150,150,"7,45",0,0,7290,
44.enti.ente_p.com_vot.1,44,2,20250608190000,4,150,150,"16,11",0,0,15752,
44.enti.ente_p.com_vot.2,44,3,20250608230000,4,150,150,"21,44",0,0,20970,
44.enti.ente_p.com_vot.3,44,4,20250609150000,4,150,150,"28,99",12967,15388,28355,
45.enti.ente_p.com_vot.0,45,1,20250608120000,4,3927,3927,"10,30",0,0,288798,
45.enti.ente_p.com_vot.1,45,2,20250608190000,4,3927,3927,"22,19",0,0,622143,
45.enti.ente_p.com_vot.2,45,3,20250608230000,4,3927,3927,"29,98",0,0,840610,
45.enti.ente_p.com_vot.3,45,4,20250609150000,4,3927,3927,"39,11",510372,585982,1096354,
46.enti.ente_p.com_vot.0,46,1,20250608120000,4,1842,1842,"6,81",0,0,90028,
46.enti.ente_p.com_vot.1,46,2,20250608190000,4,1842,1842,"13,02",0,0,172276,
46.enti.ente_p.com_vot.2,46,3,20250608230000,4,1842,1842,"18,93",0,0,250425,
46.enti.ente_p.com_vot.3,46,4,20250609150000,4,1842,1842,"27,74",162681,204192,366873,
47.enti.ente_p.com_vot.0,47,1,20250608120000,4,1785,1785,"9,23",0,0,109242,
47.enti.ente_p.com_vot.1,47,2,20250608190000,4,1785,1785,"20,58",0,0,243487,
47.enti.ente_p.com_vot.2,47,3,20250608230000,4,1785,1785,"26,37",0,0,312041,
47.enti.ente_p.com_vot.3,47,4,20250609150000,4,1785,1785,"35,08",190539,224541,415080,
48.enti.ente_p.com_vot.0,48,1,20250608120000,4,1357,1357,"7,30",0,0,68087,
48.enti.ente_p.com_vot.1,48,2,20250608190000,4,1357,1357,"15,73",0,0,146733,
48.enti.ente_p.com_vot.2,48,3,20250608230000,4,1357,1357,"20,45",0,0,190720,
48.enti.ente_p.com_vot.3,48,4,20250609150000,4,1357,1357,"27,59",119472,137870,257342,
49.enti.ente_p.com_vot.0,49,1,20250608120000,4,684,684,"5,37",0,0,23294,
49.enti.ente_p.com_vot.1,49,2,20250608190000,4,684,684,"12,98",0,0,56299,
49.enti.ente_p.com_vot.2,49,3,20250608230000,4,684,684,"22,21",0,0,96363,
49.enti.ente_p.com_vot.3,49,4,20250609150000,4,684,684,"31,27",64967,70672,135639,
